taxon,lfc_aridityMargin,lfc_aridityHyperarid,se_aridityMargin,se_aridityHyperarid,W,p_val,q_val,diff_abn,genus
Bacteria_Chloroflexi_Thermobacula_Thermobaculales_Thermobaculaceae_Thermobaculum,2.2506245173788932,5.740556857911646,1.3914135699020076,1.6010067398273502,5.740556857911646,0,0,TRUE,Thermobaculum
Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_Candidatus Nitrososphaera,-1.454771383382524e-10,-2.8441224946247883,0.7152453551175257,1.029437918238376,2.8441224946247883,0,0,TRUE,Candidatus Nitrososphaera
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,-1.2861114891744972e-9,-5.194930392070701,0.8978250103428761,1.3035696207733254,5.194930392070701,0,0,TRUE,Paenibacillus
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Pseudonocardia,-4.3632964987341094e-10,-4.409451055106722,1.0027616951386815,1.4264353110460355,4.409451055106722,0,0,TRUE,Pseudonocardia
Bacteria_Actinobacteria_Rubrobacteria_Rubrobacterales_Rubrobacteraceae_Rubrobacter,0.5715592941420904,2.3319860501424174,0.8510075474915311,1.0714129652464282,2.3319860501424174,0.04,1,FALSE,Rubrobacter
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas,1.347215144755206,1.5321143245511162,1.4869079087286663,1.7781726814578218,1.5321143245511162,0.63,1,FALSE,Sphingomonas
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Ammoniphilus,-2.1007978803967982e-9,-3.6662041639947094,1.6326800492834297,1.8518271037970475,3.6662041639947094,0.07,1,FALSE,Ammoniphilus
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Ralstonia,1.5925602094999474,2.558853951594483,1.2994923478946758,1.492676640968914,2.558853951594483,0.13,1,FALSE,Ralstonia
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Amycolatopsis,-0.6307289321259892,-3.182009872605659,1.1628423871466995,1.5984490334439263,3.182009872605659,0.04,1,FALSE,Amycolatopsis
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces,-6.686031511823931e-10,-2.581543180694359,1.4805113453746706,1.6937122981767359,2.581543180694359,0.18,1,FALSE,Streptomyces
Bacteria_Actinobacteria_Nitriliruptoria_Euzebyales_Euzebyaceae_Euzebya,3.6491109622744747e-10,1.9683298562071778,1.3195298449092854,1.5824981305627557,1.9683298562071778,0.27,1,FALSE,Euzebya
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,-0.6792142128839729,-2.252340963045512,1.442413301303583,1.8883084406637276,2.252340963045512,0.24,1,FALSE,Bacillus
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhodobiaceae_Afifella,0.7942402972449792,1.480359614804045,1.3082849794340352,1.5804892140549331,1.480359614804045,0.54,1,FALSE,Afifella
Bacteria_Firmicutes_Clostridia_Clostridiales_Symbiobacteriaceae_Symbiobacterium,-0.3226714244283186,-0.9547728167131702,0.9701387717880082,1.4116966144893182,0.9547728167131702,0.61,1,FALSE,Symbiobacterium
Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio,-6.70339866877254e-10,-1.9948307345302727,1.0418699367856468,1.3195438519494391,1.9948307345302727,0.16,1,FALSE,Bdellovibrio
Bacteria_Verrucomicrobia_Spartobacteria_Chthoniobacterales_Chthoniobacteraceae_DA101,-1.2114595294871837,-1.243541084317044,1.205503826236779,1.6563939361741467,1.243541084317044,0.62,1,FALSE,DA101
Bacteria_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Nitrospira,-4.0654970316256063e-11,-1.1093215710623017,0.7900848882774535,1.100568687957781,1.1093215710623017,0.33,1,FALSE,Nitrospira
Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_Solirubrobacter,-0.8426316388276116,-1.7146508623924517,1.0070797636391355,1.2707285510255668,1.7146508623924517,0.25,1,FALSE,Solirubrobacter
Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_AK1AB1_02E_NA,-3.6995176166212073e-10,-1.4487299630798272,1.257790236921818,1.527243229812419,1.4487299630798272,0.39,1,FALSE,02E
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Curvibacter,0.40648346611588515,1.113666530619224,0.9897186525110304,1.1805098918851384,1.113666530619224,0.52,1,FALSE,Curvibacter
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Pelomonas,-0.8610039147363631,-0.8610039151365076,0.7197670484198615,1.0332558384134265,0.8610039151365076,0.5,1,FALSE,Pelomonas
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum,-2.196197427476175e-9,-0.19303347876320678,0.7184078224560049,0.9849114978509367,0.19303347876320678,0.91,1,FALSE,Allobaculum
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Geodermatophilus,2.460655865026593,2.4606558652372734,0.901527165980782,1.309110258469244,2.4606558652372734,0.03,1,FALSE,Geodermatophilus
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Thermomonosporaceae_Actinomadura,8.815597561686157e-10,1.862926461614651,1.480954669549639,1.8563960540627806,1.862926461614651,0.49,1,FALSE,Actinomadura
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Kaistobacter,-1.4718541050650253e-10,-1.556952705418917,1.0176521951789212,1.3695336244019662,1.556952705418917,0.36,1,FALSE,Kaistobacter
Bacteria_Bacteroidetes_Saprospirae_Saprospirales_Chitinophagaceae_Flavisolibacter,-1.5913458488922454e-10,-1.0346892616235348,1.0734504928202588,1.4837061088131371,1.0346892616235348,0.68,1,FALSE,Flavisolibacter
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium,-0.7177382576258432,-2.316487717289621,1.1272845438287298,1.4107359737394052,2.316487717289621,0.11,1,FALSE,Bradyrhizobium
Bacteria_Chloroflexi_TK10_AKYG885_Dolo_23_NA,0.35079057972422495,0.35079058016736253,0.9089733784313656,1.1962459282849265,0.35079058016736253,0.91,1,FALSE,23
Bacteria_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Adhaeribacter,-1.805756210990321e-11,-0.5252427535765543,1.058415439524282,1.3541869578924464,0.5252427535765543,0.93,1,FALSE,Adhaeribacter
Bacteria_Planctomycetes_Planctomycetia_Planctomycetales_Planctomycetaceae_Planctomyces,-0.5713668311834039,-1.4183193266854426,1.2631668131134512,1.501565454456773,1.4183193266854426,0.36,1,FALSE,Planctomyces
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Rhodoplanes,-0.5561042580869354,-3.4876444664179926,1.0051208200034796,1.4278829147958438,3.4876444664179926,0.03,1,FALSE,Rhodoplanes
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium,-9.146013467246475e-10,-0.5847375299373914,1.228235764570133,1.6469495727763113,0.5847375299373914,0.84,1,FALSE,Mesorhizobium
Bacteria_Planctomycetes_Planctomycetia_Gemmatales_Gemmataceae_Gemmata,-0.3931698037678009,-2.21959530740687,0.8228227121197382,1.1270676916713596,2.21959530740687,0.07,1,FALSE,Gemmata
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Pseudonocardiaceae_Jiangella,-0.4322811761671414,-0.8197030724024165,1.0917773882276274,1.3274317499759938,0.8197030724024165,0.74,1,FALSE,Jiangella
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Blastococcus,0.4407007463295911,0.45518238214336837,0.7643548750963542,1.0507091757214613,0.45518238214336837,0.85,1,FALSE,Blastococcus
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia,-0.2982663201241234,-0.39693569580649524,0.9094608581354098,1.2434903251895875,0.39693569580649524,0.88,1,FALSE,Massilia
Bacteria_Bacteroidetes_Saprospirae_Saprospirales_Chitinophagaceae_Segetibacter,0.18870047357573555,0.3631865489913242,0.9849275173914152,1.427175765328001,0.3631865489913242,0.96,1,FALSE,Segetibacter
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micromonosporaceae_Couchioplanes,0.8267165927838438,0.8267165928342033,0.889497985847563,1.1983425996774841,0.8267165928342033,0.62,1,FALSE,Couchioplanes
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Cryptosporangiaceae_Cryptosporangium,0.34861449395067134,2.8727655652561848,1.2767682801829818,1.5239967444522027,2.8727655652561848,0.08,1,FALSE,Cryptosporangium
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus,2.7910846246209027e-10,1.9920386411935183,0.9951797188177741,1.1873150708908267,1.9920386411935183,0.12,1,FALSE,Geobacillus
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus,0.3311357848848429,0.9602717870753509,0.9557014658964186,1.3901248257652479,0.9602717870753509,0.5700000000000001,1,FALSE,Anoxybacillus
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia,1.279491674494606e-10,0.23571302131642086,1.2246373587098864,1.4669057565487336,0.23571302131642086,0.98,1,FALSE,Burkholderia
Bacteria_Bacteroidetes_Saprospirae_Saprospirales_Chitinophagaceae_Sediminibacterium,0.2161134426734143,1.0647720251311696,0.6694451192129549,0.960321778885593,1.0647720251311696,0.37,1,FALSE,Sediminibacterium
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium,-0.40446296357342426,-0.626228970306263,0.8178704112863611,1.1429329485544193,0.626228970306263,0.77,1,FALSE,Novosphingobium
